자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시
송파구,위례동 4,,37.47735214,127.139122,3,2021-01-12
송파구,서울특별시 송파구 장지동 위례순환로 375 빛의자녀교회,,37.47825,127.1458,3,2021-01-12
송파구,서울특별시 송파구 장지동 위례광장로 243 서울위례별초등학교,,37.47829056,127.1440735,5,2021-01-12
송파구,서울특별시 송파구 장지동 위례순환로 429 송례중학교,,37.4784584,127.1391449,3,2021-01-12
송파구,장지동 393,,37.47846985,127.1420441,5,2021-01-12
송파구,서울특별시 송파구 장지동 위례광장로 163 위례22단지,,37.47999,127.14168,4,2021-01-12
송파구,서울특별시 송파구 문정동 송파대로 106 ,,37.48091507,127.1266556,1,2021-01-12
송파구,장지동 853(한국육영학교),,37.48119736,127.1346664,1,2021-01-12
송파구,서울특별시 송파구 장지동 충민로6길 10 버들어린이집,,37.48147964,127.1313934,1,2021-01-12
송파구,장지동택지개발지구 문현초등학교 정문,,37.48180779,127.130951,3,2021-01-12
송파구,서울특별시 송파구 문정동 새말로 117 ,,37.48210526,127.1270218,1,2021-01-12
송파구,문정동 185-2(문현초등학교),,37.48269272,127.1310349,3,2021-01-12
송파구,서울특별시 송파구 문정동 새말로12길 3 ,,37.48279953,127.1295471,2,2021-01-12
송파구,서울특별시 송파구 문정동 새말로5길 3 문정1차 동궁리치웰아파트,,37.48325458,127.1246299,3,2021-01-12
송파구,서울특별시 송파구 문정동 새말로 125 어은회관,,37.48343658,127.1274185,1,2021-01-12
송파구,서울특별시 송파구 문정동 문정로4길 18 경화빌딩,,37.48448181,127.1263199,1,2021-01-12
송파구,서울특별시 송파구 문정동 새말로11길 11 ,,37.48453522,127.127388,2,2021-01-12
송파구,서울특별시 송파구 문정동 새말로5길 15 ,,37.48497772,127.124855,2,2021-01-12
송파구,서울특별시 송파구 문정동 새말로15길 17 중앙빌라,,37.48503494,127.128067,2,2021-01-12
송파구,서울특별시 송파구 문정동 문정로4길 10 ,,37.48540878,127.1236038,2,2021-01-12
송파구,서울특별시 송파구 문정동 문정로4길 10 동부주택브리앙뜨,,37.48548126,127.126236,1,2021-01-12
송파구,서울특별시 송파구 문정동 문정로 61 해암빌딩,,37.48762131,127.1293182,1,2021-01-12
송파구,서울특별시 송파구 문정동 문정로5길 17 현대아트빌리지,,37.48828506,127.1281281,2,2021-01-12
송파구,서울특별시 송파구 문정동 동남로8길 25 ,,37.4890588,127.1279548,2,2021-01-12
송파구,서울특별시 송파구 문정동 송이로 202 ,,37.48971939,127.1283951,3,2021-01-12
송파구,서울특별시 송파구 문정동 중대로 18 문정2파출소,,37.48973214,127.1119962,2,2021-01-12
송파구,서울특별시 송파구 가락동 동남로 105 ,,37.49091745,127.1239206,1,2021-01-12
